"","geo_entity_name","indicator_data_id","indicator_id","name","Measure","geo_type_name","geo_entity_id","year_description","data_valuemessage","lon","lat"
"1","Astoria",154602,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","CD",401," Long Island City","2005",-123.8312534,46.1878841
"2","Astoria",154484,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","CD",401," Long Island City","2005",-123.8312534,46.1878841
"3","Astoria",154543,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","CD",401," Long Island City","2005",-123.8312534,46.1878841
"4","Battery Park City",154442,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","CD",101," Tribeca","2005",-74.0158441,40.7115786
"5","Battery Park City",154560,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","CD",101," Tribeca","2005",-74.0158441,40.7115786
"6","Battery Park City",154501,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","CD",101," Tribeca","2005",-74.0158441,40.7115786
"7","Bay Ridge",154534,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","CD",310," Dyker Heights","2005",-74.0329499,40.6261638
"8","Bay Ridge",154593,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","CD",310," Dyker Heights","2005",-74.0329499,40.6261638
"9","Bay Ridge",154475,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","CD",310," Dyker Heights","2005",-74.0329499,40.6261638
"10","Bayside",154553,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","CD",411," Douglastown"," Little Neck",-87.9006421,43.1805645
"11","Bayside",154612,643,"Traffic Density- Annual Vehicle Miles Traveled (VMT)","Per 100 km2","CD",411," Douglastown"," Little Neck",-87.9006421,43.1805645
"12","Bayside",154494,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","CD",411," Douglastown"," Little Neck",-87.9006421,43.1805645
"13","Bayside - Little Neck",130428,640,"Boiler Emissions- Total SO2 Emissions","Per km2","UHF42",404,"2013","1.6",-73.7726968,40.7662472
"14","Bayside - Little Neck",131826,666,"Neighborhood Air Quality Concentrations- Ozone (O3)","Average Concentration","UHF42",404,"Annual Average 2009-2010","28.5",-73.7726968,40.7662472
"15","Bayside - Little Neck",130962,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",404,"2005-2007","18.3",-73.7726968,40.7662472
"16","Bayside - Little Neck",134810,667,"Neighborhood Air Quality Concentrations: Sulfur Dioxide (SO2)","Average Concentration","UHF42",404,"2-Year Winter Average 2009-2010","2.8",-73.7726968,40.7662472
"17","Bayside - Little Neck",151606,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",404,"2009-2011","2.2",-73.7726968,40.7662472
"18","Bayside - Little Neck",130914,650,"PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older)","Rate- Adults 20 Yrs and Older","UHF42",404,"2005-2007","15.1",-73.7726968,40.7662472
"19","Bayside - Little Neck",151510,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",404,"2009-2011","7.8",-73.7726968,40.7662472
"20","Bayside - Little Neck",151750,645,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Trucks","Per 100 km2","UHF42",404,"2005","2",-73.7726968,40.7662472
"21","Bayside - Little Neck",131490,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",404,"2009-2011","12.5",-73.7726968,40.7662472
"22","Bayside - Little Neck",131346,661,"O3-Attributable Asthma Hospitalizations ","Rate- 18 Yrs and Older","UHF42",404,"2005-2007","1.8",-73.7726968,40.7662472
"23","Bayside - Little Neck",151510,659,"O3-Attributable Asthma ED Visits","Rate- 18 Yrs and Older","UHF42",404,"2009-2011","7.8",-73.7726968,40.7662472
"24","Bayside - Little Neck",130386,639,"PM2.5-Attributable Deaths ","Rate - Adults 30 Yrs and Older","UHF42",404,"2005-2007","48.9",-73.7726968,40.7662472
"25","Bayside - Little Neck",131778,665,"Neighborhood Air Quality Concentrations- Nitrogen Dioxide (NO2)","Average Concentration","UHF42",404,"Annual Average 2009-2010","19.2",-73.7726968,40.7662472
"26","Bayside - Little Neck",151702,644,"Traffic Density- Annual Vehicle Miles Traveled (VMT) for Cars","Per 100 km2","UHF42",404,"2005","31.7",-73.7726968,40.7662472
"27","Bayside - Little Neck",130818,648,"PM2.5-Attributable Asthma ED Visits ","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2005-2007","26.7",-73.7726968,40.7662472
"28","Bayside - Little Neck",151462,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2009-2011","27.5",-73.7726968,40.7662472
"29","Bayside - Little Neck",131490,651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ","Rate- 40 Years and Older","UHF42",404,"2009-2011","12.5",-73.7726968,40.7662472
"30","Bayside - Little Neck",130476,641,"Boiler Emissions- Total PM2.5 Emissions","Per km2","UHF42",404,"2013","0.2",-73.7726968,40.7662472
"31","Bayside - Little Neck",131058,653,"O3-Attributable Asthma ED Visits","Rate- Children 0 to 17 Yrs Old","UHF42",404,"2005-2007","23.4",-73.7726968,40.7662472
"32","Bayside - Little Neck",131730,664,"Neighborhood Air Quality Concentrations- Nitric Oxide (NO)","Average Concentration","UHF42",404,"Annual Average 2009-2010","19.1",-73.7726968,40.7662472
